TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
0.0079,-1.5481,0.8743,-1.5514,-4.1179
-0.3791,-0.3303,-1.3351,4.2382,-0.9027
-2.555,-0.1095,-1.4694,2.0484,-0.0038
-2.3858,0.4063,-0.4519,2.9489,-0.905
0.1545,1.1097,3.2434,3.0306,2.4241
-1.4711,1.7251,-0.4899,-1.1076,2.1975
0.6684,-1.2945,-3.2211,-1.5364,-2.0302
1.592,-0.5542,0.0436,-0.6183,-3.0786
0.0217,-5.0371,-0.3511,0.3883,-3.4076
-0.9825,-2.191,-2.6,-0.902,-0.5505
0.4396,-2.2615,0.8429,-1.0629,2.1391
1.8389,-1.9422,-2.3372,1.1882,0.4325
2.2863,0.5191,2.3287,2.3347,1.0108
-0.3045,-0.2645,-1.57,3.3237,-1.0574
-1.4152,-0.1585,2.0821,3.5933,-1.4152
0.6484,0.4595,-1.2096,-1.4658,2.015
1.0441,-3.2855,-1.1313,0.7512,-4.7945
1.4105,-0.5384,-1.0463,-2.5869,0.2132
1.5755,0.3045,1.3664,7.0591,0.7399
1.9643,1.8829,2.2729,1.7244,2.0114
-0.4734,-1.3514,-0.7297,3.7109,-0.2674
0.2992,2.0545,-2.1155,0.1576,-1.1858
-1.3947,-1.6128,-6.1242,-0.652,-1.5881
-1.9163,0.4581,2.2824,-1.9163,-1.9163
1.8081,1.8073,2.0104,1.7508,-1.2842
-0.1521,2.2451,3.3073,1.1472,1.9566
2.3681,-0.1463,1.0785,-1.93,-0.4481
-1.9083,-1.9083,3.6331,-1.0564,-0.7213
-0.0957,2.2774,2.3216,-0.3029,-0.5448
0.4619,5.7744,0.7528,-1.2969,1.2145
-0.1478,2.2902,2.0885,0.8713,2.9578
-2.508,1.0811,-2.508,2.3304,-0.3757
-1.8736,1.1349,-1.8736,2.8844,-1.2851
1.3888,1.5694,1.1669,-2.0247,-2.0247
-0.4106,-0.9916,-3.4411,-0.1316,-3.226
-1.0766,-4.5739,0.1842,-0.6608,-0.0471
-0.65,0.1094,-0.2175,-0.9455,2.7278
0.0176,-2.3563,-3.7059,-1.9465,-2.5951
1.5367,-0.209,2.8284,2.9278,2.6797
2.6866,1.914,-0.292,-2.3897,-0.4283
0.4703,1.6719,2.1687,-1.7507,1.6707
-0.4135,-3.3356,-0.9719,-1.5729,-3.8701
0.094,0.1304,-0.3306,-1.4274,-3.2326
-0.376,1.5815,-0.2487,3.7711,0.4193
-1.2993,-1.2993,-1.2993,4.7144,-1.2993
-0.1755,-1.7255,-0.6455,4.5603,-1.7255
-1.0444,0.0397,-0.5996,-1.0444,4.5562
0.13,1.9465,-0.2495,2.0446,3.2282
-0.1161,-0.7863,2.8115,0.5766,1.7703
1.3574,-2.9847,0.6213,-0.1599,-2.1562
0.9927,2.5731,-0.5832,1.9198,-0.3072
0.7906,0.0964,-1.5069,-2.0707,-2.7204
-1.5572,1.1073,-0.4768,3.408,1.8522
-0.297,2.4238,3.3759,2.6224,0.8852
